Image+AF8-Name,DOMAIN,REP,xx,yy,R,G,B,Y
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,160,120,120,82,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,416,97,128,86,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,160,149,168,138,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,32,127,155,114,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,32,96,109,92,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,416,125,144,88,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,352,100,118,92,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,96,175,193,153,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,352,95,115,66,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,160,115,118,91,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,160,124,131,53,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,32,95,136,66,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,480,114,139,71,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,160,121,121,87,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,160,136,127,94,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,480,135,152,108,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,224,129,132,105,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,96,203,171,132,0
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,352,107,129,90,1
